seed,tau,method,feasible,n_considered,tune_ndcg,tune_parity,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured,chosen_mmr_lam,chosen_lam,chosen_mu
0,0.2,greedy_topk,False,1,1.0,1.2475,1.0,0.1,0.53125,1.1175000000000002,0.04516734666548803,0.026712815051473198,0.9794182641107562,0.00025371744590234183,1.3184220202242223e-05,0.4,0.0005357999980333261,,,False,,,
0,0.2,mmr,False,3,0.8826838595316542,1.1375,0.8102087565970197,0.075,0.65625,0.9675,0.006076621595567673,0.03186013489527866,0.9711949769258076,0.00025471709091476645,8.998921364099264e-06,0.3,0.13995040000008885,,,False,0.7,,
0,0.2,quota_mmr,False,3,0.8296891447266013,0.2725,0.8448865849202527,0.1,1.0,0.2625,0.023286717385799117,0.029375221867234645,0.9753727369542066,0.00025371744590234183,1.0901963655046765e-05,0.4,0.08916999999928521,,,False,0.3,,
0,0.2,qubo_tabu,False,9,0.8346657245844146,0.205,0.8548452644302837,0.1,1.0,0.2,0.03199932294074741,0.02689030883919063,0.9792842563010294,0.0002537174459023419,1.2486264506328307e-05,0.4,11.042582300000504,,,False,,0.0,1.0
0,0.2,qubo_feasible,False,9,0.7525377422006015,0.205,0.7665882738437753,0.1,1.0,0.2,0.025550827440190826,0.028665246716364928,0.9764323748668796,0.0002528995545285399,1.1108199157383323e-05,0.4,26.16810329999862,,,False,,0.0,1.0
0,0.22,greedy_topk,False,1,1.0,1.2475,1.0,0.1,0.53125,1.1175000000000002,0.04516734666548803,0.026712815051473198,0.9794182641107562,0.00025371744590234183,1.3184220202242223e-05,0.4,0.0005357999980333261,,,False,,,
0,0.22,mmr,False,3,0.8826838595316542,1.1375,0.8102087565970197,0.075,0.65625,0.9675,0.006076621595567673,0.03186013489527866,0.9711949769258076,0.00025471709091476645,8.998921364099264e-06,0.3,0.13995040000008885,,,False,0.7,,
0,0.22,quota_mmr,False,3,0.8296891447266013,0.2725,0.8448865849202527,0.1,1.0,0.2625,0.023286717385799117,0.029375221867234645,0.9753727369542066,0.00025371744590234183,1.0901963655046765e-05,0.4,0.08916999999928521,,,False,0.3,,
0,0.22,qubo_tabu,True,9,0.8346657245844146,0.205,0.8548452644302837,0.1,1.0,0.2,0.03199932294074741,0.02689030883919063,0.9792842563010294,0.0002537174459023419,1.2486264506328307e-05,0.4,11.042582300000504,,,False,,0.0,1.0
0,0.22,qubo_feasible,True,9,0.7525377422006015,0.205,0.7665882738437753,0.1,1.0,0.2,0.025550827440190826,0.028665246716364928,0.9764323748668796,0.0002528995545285399,1.1108199157383323e-05,0.4,26.16810329999862,,,False,,0.0,1.0
0,0.25,greedy_topk,False,1,1.0,1.2475,1.0,0.1,0.53125,1.1175000000000002,0.04516734666548803,0.026712815051473198,0.9794182641107562,0.00025371744590234183,1.3184220202242223e-05,0.4,0.0005357999980333261,,,False,,,
0,0.25,mmr,False,3,0.8826838595316542,1.1375,0.8102087565970197,0.075,0.65625,0.9675,0.006076621595567673,0.03186013489527866,0.9711949769258076,0.00025471709091476645,8.998921364099264e-06,0.3,0.13995040000008885,,,False,0.7,,
0,0.25,quota_mmr,False,3,0.8296891447266013,0.2725,0.8448865849202527,0.1,1.0,0.2625,0.023286717385799117,0.029375221867234645,0.9753727369542066,0.00025371744590234183,1.0901963655046765e-05,0.4,0.08916999999928521,,,False,0.3,,
0,0.25,qubo_tabu,True,9,0.8346657245844146,0.205,0.8548452644302837,0.1,1.0,0.2,0.03199932294074741,0.02689030883919063,0.9792842563010294,0.0002537174459023419,1.2486264506328307e-05,0.4,11.042582300000504,,,False,,0.0,1.0
0,0.25,qubo_feasible,True,9,0.7525377422006015,0.205,0.7665882738437753,0.1,1.0,0.2,0.025550827440190826,0.028665246716364928,0.9764323748668796,0.0002528995545285399,1.1108199157383323e-05,0.4,26.16810329999862,,,False,,0.0,1.0
0,0.3,greedy_topk,False,1,1.0,1.2475,1.0,0.1,0.53125,1.1175000000000002,0.04516734666548803,0.026712815051473198,0.9794182641107562,0.00025371744590234183,1.3184220202242223e-05,0.4,0.0005357999980333261,,,False,,,
0,0.3,mmr,False,3,0.8826838595316542,1.1375,0.8102087565970197,0.075,0.65625,0.9675,0.006076621595567673,0.03186013489527866,0.9711949769258076,0.00025471709091476645,8.998921364099264e-06,0.3,0.13995040000008885,,,False,0.7,,
0,0.3,quota_mmr,True,3,0.8296891447266013,0.2725,0.8448865849202527,0.1,1.0,0.2625,0.023286717385799117,0.029375221867234645,0.9753727369542066,0.00025371744590234183,1.0901963655046765e-05,0.4,0.08916999999928521,,,False,0.3,,
