n,repeat,method,energy,optimum,random,feasible,optimal,recovered
14,0,greedy_topk,0.011314830569743806,-0.002108541446979917,0.020126022022283436,True,False,0.39628353687807083
14,0,mmr,0.015395513745441264,-0.002108541446979917,0.020126022022283436,True,False,0.21275471782396532
14,0,quota_mmr,0.010906555652190397,-0.002108541446979917,0.020126022022283436,True,False,0.4146457106224666
14,0,qubo_sa,0.001860944514152807,-0.002108541446979917,0.020126022022283436,True,False,0.8214722782113502
14,0,qubo_tabu,-0.002108541446980333,-0.002108541446979917,0.020126022022283436,True,True,1.0000000000000187
14,0,qubo_feasible,-0.002108541446980333,-0.002108541446979917,0.020126022022283436,True,True,1.0000000000000187
14,0,qubo_sb,,-0.002108541446979917,0.020126022022283436,False,False,
14,0,random_feasible,0.020126022022283436,-0.002108541446979917,0.020126022022283436,True,False,0.0
14,1,greedy_topk,0.010846271918711542,-0.006532272608674727,0.015999211812997138,True,False,0.22869952986005887
14,1,mmr,0.0017863787929597863,-0.006532272608674727,0.015999211812997138,True,False,0.6307987860030547
14,1,quota_mmr,0.0017863787929597863,-0.006532272608674727,0.015999211812997138,True,False,0.6307987860030547
14,1,qubo_sa,-0.0030152564705972773,-0.006532272608674727,0.015999211812997138,True,False,0.8439065943345209
14,1,qubo_tabu,-0.006532272608674922,-0.006532272608674727,0.015999211812997138,True,True,1.0000000000000087
14,1,qubo_feasible,-0.006532272608674922,-0.006532272608674727,0.015999211812997138,True,True,1.0000000000000087
14,1,qubo_sb,,-0.006532272608674727,0.015999211812997138,False,False,
14,1,random_feasible,0.015999211812997138,-0.006532272608674727,0.015999211812997138,True,False,0.0
14,2,greedy_topk,0.024431239595402165,-0.004029823688413536,0.022312666405375232,True,False,-0.08042418095191642
14,2,mmr,0.004154071831027811,-0.004029823688413536,0.022312666405375232,True,False,0.6893271862187771
14,2,quota_mmr,0.009247642021010388,-0.004029823688413536,0.022312666405375232,True,False,0.4959677060843012
14,2,qubo_sa,-0.0012035104139297148,-0.004029823688413536,0.022312666405375232,True,False,0.892708955591475
14,2,qubo_tabu,-0.004029823688414286,-0.004029823688413536,0.022312666405375232,True,True,1.0000000000000284
14,2,qubo_feasible,-0.004029823688414286,-0.004029823688413536,0.022312666405375232,True,True,1.0000000000000284
14,2,qubo_sb,0.030206690912820744,-0.004029823688413536,0.022312666405375232,True,False,-0.29966888017571375
14,2,random_feasible,0.022312666405375232,-0.004029823688413536,0.022312666405375232,True,False,0.0
14,3,greedy_topk,0.01458708092584629,0.00023616550933436287,0.021597485010822856,True,False,0.3281821651742098
14,3,mmr,0.0027245062569203615,0.00023616550933436287,0.021597485010822856,True,False,0.8835118426362844
14,3,quota_mmr,0.0024937045025191507,0.00023616550933436287,0.021597485010822856,True,False,0.8943165007654382
14,3,qubo_sa,0.0013051283811576497,0.00023616550933436287,0.021597485010822856,True,False,0.9499580130455518
14,3,qubo_tabu,0.0002361655093345849,0.00023616550933436287,0.021597485010822856,True,True,0.9999999999999896
14,3,qubo_feasible,0.0002361655093345849,0.00023616550933436287,0.021597485010822856,True,True,0.9999999999999896
14,3,qubo_sb,,0.00023616550933436287,0.021597485010822856,False,False,
14,3,random_feasible,0.021597485010822856,0.00023616550933436287,0.021597485010822856,True,False,0.0
14,4,greedy_topk,0.028672344719902376,-0.0007967186361677037,0.019977313199569052,True,False,-0.41855291207244616
14,4,mmr,0.023534137498504915,-0.0007967186361677037,0.019977313199569052,True,False,-0.1712149248186477
14,4,quota_mmr,0.0123278370503567,-0.0007967186361677037,0.019977313199569052,True,False,0.3682229915549305
14,4,qubo_sa,0.0036699273632780083,-0.0007967186361677037,0.019977313199569052,True,False,0.7849889691724687
14,4,qubo_tabu,-0.0007967186361674261,-0.0007967186361677037,0.019977313199569052,True,True,0.9999999999999867
14,4,qubo_feasible,-0.0007967186361674261,-0.0007967186361677037,0.019977313199569052,True,True,0.9999999999999867
14,4,qubo_sb,0.009154112002420195,-0.0007967186361677037,0.019977313199569052,True,False,0.5209966598072757
14,4,random_feasible,0.019977313199569052,-0.0007967186361677037,0.019977313199569052,True,False,0.0
14,5,greedy_topk,0.023674350700185226,-0.0045417966867247195,0.02271439229341221,True,False,-0.03521983236440681
14,5,mmr,0.003204465776340093,-0.0045417966867247195,0.02271439229341221,True,False,0.7157980351284644
14,5,quota_mmr,0.010343291129459947,-0.0045417966867247195,0.02271439229341221,True,False,0.453882278735584
14,5,qubo_sa,-0.0007004523783665506,-0.0045417966867247195,0.02271439229341221,True,False,0.859065245285848
14,5,qubo_tabu,-0.00454179668672508,-0.0045417966867247195,0.02271439229341221,True,True,1.0000000000000133
14,5,qubo_feasible,-0.00454179668672508,-0.0045417966867247195,0.02271439229341221,True,True,1.0000000000000133
14,5,qubo_sb,-0.0013491030489624634,-0.0045417966867247195,0.02271439229341221,True,False,0.8828635345869906
14,5,random_feasible,0.02271439229341221,-0.0045417966867247195,0.02271439229341221,True,False,0.0
14,6,greedy_topk,0.030373735292996945,0.0011373887981958042,0.028207850766471608,True,False,-0.08000914535790202
14,6,mmr,0.002201648475639889,0.0011373887981958042,0.028207850766471608,True,False,0.9606855738667739
14,6,quota_mmr,0.0027671100999281384,0.0011373887981958042,0.028207850766471608,True,False,0.9397970635431998
14,6,qubo_sa,0.004188644085115989,0.0011373887981958042,0.028207850766471608,True,False,0.8872846983366598
14,6,qubo_tabu,0.001137388798196387,0.0011373887981958042,0.028207850766471608,True,True,0.9999999999999785
14,6,qubo_feasible,0.001137388798196387,0.0011373887981958042,0.028207850766471608,True,True,0.9999999999999785
14,6,qubo_sb,,0.0011373887981958042,0.028207850766471608,False,False,
14,6,random_feasible,0.028207850766471608,0.0011373887981958042,0.028207850766471608,True,False,0.0
14,7,greedy_topk,0.01800663993724419,-0.003118542182701134,0.017971045626009267,True,False,-0.0016877670420956273
14,7,mmr,0.018995797295391276,-0.003118542182701134,0.017971045626009267,True,False,-0.04859040767780047
14,7,quota_mmr,0.012402719453906974,-0.003118542182701134,0.017971045626009267,True,False,0.26403200586985714
14,7,qubo_sa,-0.0024084139260183157,-0.003118542182701134,0.017971045626009267,True,False,0.9663280163119394
14,7,qubo_tabu,-0.0031185421827010784,-0.003118542182701134,0.017971045626009267,True,True,0.9999999999999973
14,7,qubo_feasible,-0.0031185421827010784,-0.003118542182701134,0.017971045626009267,True,True,0.9999999999999973
14,7,qubo_sb,,-0.003118542182701134,0.017971045626009267,False,False,
14,7,random_feasible,0.017971045626009267,-0.003118542182701134,0.017971045626009267,True,False,0.0
14,8,greedy_topk,0.023641521569960716,-0.008742804611599375,0.018176650726603127,True,False,-0.20300822489532938
14,8,mmr,-0.006657543520785986,-0.008742804611599375,0.018176650726603127,True,False,0.9225370251880948
14,8,quota_mmr,-0.006657543520785986,-0.008742804611599375,0.018176650726603127,True,False,0.9225370251880948
14,8,qubo_sa,-0.0048861249050746736,-0.008742804611599375,0.018176650726603127,True,False,0.8567326248591839
14,8,qubo_tabu,-0.008742804611598959,-0.008742804611599375,0.018176650726603127,True,True,0.9999999999999846
14,8,qubo_feasible,-0.008742804611598959,-0.008742804611599375,0.018176650726603127,True,True,0.9999999999999846
14,8,qubo_sb,0.011246146330094547,-0.008742804611599375,0.018176650726603127,True,False,0.2574533663269634
14,8,random_feasible,0.018176650726603127,-0.008742804611599375,0.018176650726603127,True,False,0.0
14,9,greedy_topk,0.00460024464559311,-0.0033614422820424927,0.016514298775193347,True,False,0.5994269142112253
14,9,mmr,0.00460024464559311,-0.0033614422820424927,0.016514298775193347,True,False,0.5994269142112253
14,9,quota_mmr,0.004818460109936695,-0.0033614422820424927,0.016514298775193347,True,False,0.5884479291401684
14,9,qubo_sa,-0.002925535241444399,-0.0033614422820424927,0.016514298775193347,True,False,0.9780683880242342
14,9,qubo_tabu,-0.0033614422820426593,-0.0033614422820424927,0.016514298775193347,True,True,1.0000000000000084
14,9,qubo_feasible,-0.0033614422820426593,-0.0033614422820424927,0.016514298775193347,True,True,1.0000000000000084
14,9,qubo_sb,0.024775915038803387,-0.0033614422820424927,0.016514298775193347,True,False,-0.41566330733627493
14,9,random_feasible,0.016514298775193347,-0.0033614422820424927,0.016514298775193347,True,False,0.0
