method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
greedy_topk,1.0,0.25,0.61,0.9983333333333334,0.05227968909026055,0.326007326007326,0.8775560439560439,0.002079701450511054,0.0002357716321907475,0.37142857142857144,0.0023726999970676843,1.8478334721850034e-07,8.141702105124899e-08,True
mmr,0.9158818458161924,0.245,0.7345833333333335,0.8233333333333335,0.018865789800689772,0.4380952380952381,0.7938380952380952,0.002091303993163069,0.00012995202215295738,0.38571428571428573,0.7110447999984899,2.2949014509574045e-06,1.01115193850344e-06,True
quota_mmr,0.8368654834254883,0.225,1.0,0.26,0.009455769658475135,0.5106227106227106,0.7332827838827839,0.00209841530932424,9.934696691143741e-05,0.32857142857142857,0.7083014999989246,2.4237705778933918e-06,1.0679327067844516e-06,True
qubo_sa,0.43386023605747526,0.155,0.8983333333333334,0.5526666666666666,0.0018824514959705665,0.684981684981685,0.5651531135531136,0.0021466159270531774,3.604638205855877e-05,0.15714285714285714,368.68774080000003,0.0011777970851425906,0.0005189468180905065,True
qubo_tabu,0.6653128100025196,0.21,0.8825,0.5636666666666666,0.0014445094801124503,0.5501831501831502,0.7074373626373627,0.002110161995917647,6.154994237917897e-05,0.3,57.66831069999898,0.000184628434669766,8.134876534297626e-05,True
qubo_feasible,0.658031315920492,0.2,0.8820833333333333,0.5443333333333333,0.0014125554204826468,0.5619047619047619,0.6999179487179488,0.0021129418745989654,5.818115434589563e-05,0.2714285714285714,112.25892930000191,0.00035870577207750584,0.0001580486328235257,True
