lam,mu,method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
0.0,0.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0009178000000247266,,,False
0.0,0.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13347609999982524,,,False
0.0,0.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10848339999938617,,,False
0.0,0.0,qubo_sa,0.8278275846374908,0.3,0.8229166666666666,0.6991666666666666,0.02020241206975862,0.18095238095238095,0.8788021978021978,0.001882895370276621,0.00018054027093229342,0.5555555555555556,71.26790049999909,,,False
0.0,0.0,qubo_tabu,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,10.346236299999873,,,False
0.0,0.0,qubo_feasible,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,15.418174599999475,,,False
0.0,1.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0004936999994242797,,,False
0.0,1.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.1363139000004594,,,False
0.0,1.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10670639999989362,,,False
0.0,1.0,qubo_sa,0.7512728247277736,0.325,1.0,0.19916666666666666,0.009309375916107896,0.20293040293040293,0.8519597069597069,0.0018686043812656324,0.00014377726191905235,0.6666666666666666,72.03325979999863,,,False
0.0,1.0,qubo_tabu,0.8986257427962597,0.325,1.0,0.19916666666666666,0.016570201259502204,0.1706959706959707,0.8884102564102564,0.001871642623023874,0.00019213523181207888,0.6666666666666666,11.056749699999273,,,False
0.0,1.0,qubo_feasible,0.8422212232168143,0.3,1.0,0.19916666666666666,0.014486018139269637,0.18608058608058609,0.8722161172161172,0.001882895370276621,0.00017657337083912107,0.5555555555555556,24.66925380000066,,,False
0.0,4.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0004865000009885989,,,False
0.0,4.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13350440000067465,,,False
0.0,4.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10896759999923233,,,False
0.0,4.0,qubo_sa,0.742049356422068,0.275,1.0,0.19916666666666666,0.008907969483772288,0.20146520146520147,0.8538864468864469,0.0019016499490312005,0.00013293358669926145,0.4444444444444444,68.90723819999948,,,False
0.0,4.0,qubo_tabu,0.8981726406283659,0.325,1.0,0.19916666666666666,0.016604042798356804,0.1706959706959707,0.8881868131868131,0.001871642623023874,0.00019143494510338174,0.6666666666666666,10.66688669999894,,,False
0.0,4.0,qubo_feasible,0.7912502501961562,0.3,1.0,0.19916666666666666,0.011263509090217585,0.19926739926739928,0.857051282051282,0.0018939680735733247,0.0001477076283695067,0.5555555555555556,25.541310200000225,,,False
1.0,0.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0004898999995930353,,,False
1.0,0.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13476499999887892,,,False
1.0,0.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.1075977000000421,,,False
1.0,0.0,qubo_sa,0.6031038632596412,0.3,0.88125,0.58,0.003701079338455254,0.21025641025641026,0.8416923076923077,0.0018723459197271706,9.273460146958762e-05,0.5555555555555556,71.71955890000027,,,False
1.0,0.0,qubo_tabu,0.8669687108243824,0.325,0.86875,0.6166666666666666,0.006870934057562866,0.17655677655677657,0.8799304029304029,0.0018746433556246064,0.00013372485178567413,0.6666666666666666,11.195568999999523,,,False
