method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0005352000007405877,,,False
mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13482809999914025,,,False
quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.11001419999956852,,,False
