n,repeat,method,energy,seconds,status,feasible
20,0,exact_HiGHS,2.9057933911617466,0.580216099999916,Optimal,True
20,0,greedy_topk,7.064934339427713,0.0019604000000299493,-,True
20,0,qubo_sa,5.8175572578965,0.059829300000046715,-,True
20,0,qubo_tabu,3.792104979218357,1.51017539999998,-,True
20,0,qubo_feasible,3.792104979218357,0.06061520000002929,-,True
20,1,exact_HiGHS,-0.5995183425992803,0.2822337999999718,Optimal,True
20,1,greedy_topk,5.572260483064772,6.949999999505962e-05,-,True
20,1,qubo_sa,0.025549620039893917,0.04579660000001695,-,True
20,1,qubo_tabu,-0.3286931584365531,1.628504399999997,-,True
20,1,qubo_feasible,-0.3286931584365531,0.06071410000004107,-,True
20,2,exact_HiGHS,0.17834602659601906,0.45537750000005417,Optimal,True
20,2,greedy_topk,5.82174515425095,7.21999999768741e-05,-,True
20,2,qubo_sa,1.8060694739640093,0.04534129999990455,-,True
20,2,qubo_tabu,0.17834602659601906,1.4873199000001023,-,True
20,2,qubo_feasible,0.17834602659601906,0.06297070000005078,-,True
50,0,exact_HiGHS,-4.935510647480924,10.592107800000008,Optimal,True
50,0,greedy_topk,6.479159354217291,7.640000001174485e-05,-,True
50,0,qubo_sa,1.3667800683477296,0.22736589999999524,-,True
50,0,qubo_tabu,-4.935510647480924,3.4403445000000374,-,True
50,0,qubo_feasible,-4.935510647480924,0.12001220000001922,-,True
50,1,exact_HiGHS,-3.0073596006603545,40.519850399999996,Optimal,True
50,1,greedy_topk,8.467917846624431,9.469999997691048e-05,-,True
50,1,qubo_sa,2.928666327412941,0.34960019999994074,-,True
50,1,qubo_tabu,-2.151696447540906,4.167515900000012,-,True
50,1,qubo_feasible,-3.0073596006603545,0.29631829999993897,-,True
50,2,exact_HiGHS,-3.796866697145657,31.594305100000042,Optimal,True
50,2,greedy_topk,2.1202835411368373,0.00016270000003260066,-,True
50,2,qubo_sa,2.455970575553648,0.538025800000014,-,True
50,2,qubo_tabu,-2.3080052778339804,4.744385599999987,-,True
50,2,qubo_feasible,-2.3080052778339804,0.1565706000000091,-,True
100,0,exact_HiGHS,-4.967727828555041,165.31072059999997,Optimal,True
100,0,greedy_topk,4.785461366433385,0.00014639999994869868,-,True
100,0,qubo_sa,1.5398974903158287,0.7670218000000659,-,True
100,0,qubo_tabu,-4.875299409109523,3.2939925999999105,-,True
100,0,qubo_feasible,-4.524863010242841,0.38142919999995684,-,True
100,1,exact_HiGHS,-6.375120369610716,76.02269379999984,Optimal,True
100,1,greedy_topk,0.7501083279084888,9.879999993245292e-05,-,True
100,1,qubo_sa,3.4663547056063537,0.9130642999998599,-,True
100,1,qubo_tabu,-6.375120369610716,3.074505799999997,-,True
100,1,qubo_feasible,-6.375120369610716,0.3695706999999402,-,True
100,2,exact_HiGHS,-5.287563759941577,99.45628929999998,Optimal,True
100,2,greedy_topk,4.235114376256902,0.00010030000021288288,-,True
100,2,qubo_sa,1.8211793202058084,0.9671241999999438,-,True
100,2,qubo_tabu,-5.287563759941577,2.9430251000001135,-,True
100,2,qubo_feasible,-4.594504389816036,0.3515187000000424,-,True
200,0,exact_HiGHS,-6.762688832485928,687.0714166,Optimal,True
200,0,greedy_topk,2.4169617108052375,0.00011840000001939188,-,True
200,0,qubo_sa,1.238695293058659,2.2511081000000104,-,True
200,0,qubo_tabu,-6.291557260187327,2.1742354000000432,-,True
200,0,qubo_feasible,-5.477591056175024,0.6276761999999962,-,True
200,1,exact_HiGHS,-6.678900813402622,806.9471695,Optimal,True
200,1,greedy_topk,2.7763851299946243,0.00010879999990720535,-,True
200,1,qubo_sa,2.7371900236643283,1.9524577000001955,-,True
200,1,qubo_tabu,-5.989100338421166,1.9392459999999119,-,True
200,1,qubo_feasible,-5.558768895503325,0.5657986999999594,-,True
