repeat,seed,method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
0,0,greedy_topk,1.0,0.2833333333333333,0.6416666666666667,0.9800000000000001,0.04908110518015834,0.16996336996336997,0.9147789987789988,0.00200796941843291,0.0002307549725105389,0.391304347826087,0.0007908999996288912,1.828783624846049e-07,8.05776695376168e-08,True
0,0,mmr,0.9285464773619233,0.26666666666666666,0.7333333333333333,0.8183333333333334,0.01704834336274713,0.21611721611721613,0.8700415140415141,0.002020472470935962,0.0001426652828010666,0.34782608695652173,0.20012370000040391,6.434890512899052e-07,2.835264239107426e-07,True
0,0,quota_mmr,0.8588267825183656,0.25,1.0,0.25388888888888894,0.009049123700584779,0.25347985347985347,0.8339047619047619,0.0020237500711313217,0.00011842162866858823,0.30434782608695654,0.1604689000014332,5.167715140939594e-07,2.2769366328191127e-07,True
0,0,qubo_sa,0.47929630364223896,0.23333333333333334,0.9375,0.51,0.0016108766179919896,0.3208791208791209,0.7525103785103785,0.002048170095551346,5.7097555750015756e-05,0.2608695652173913,108.13359589999891,0.000345427794429496,0.0001521982496479914,True
0,0,qubo_tabu,0.7145337378523094,0.25,0.9166666666666666,0.5050000000000001,0.0015363692149363715,0.2725274725274725,0.8112185592185592,0.002023750071131322,7.75123476666617e-05,0.30434782608695654,16.911582400000043,5.404000212670992e-05,2.3810457257045403e-05,True
0,0,qubo_feasible,0.7145572282030072,0.25,0.8944444444444445,0.5072222222222224,0.0015679983185908073,0.26593406593406593,0.8166373626373626,0.0020237500711313217,8.04841995148229e-05,0.30434782608695654,32.39878110000063,0.00010350945160399785,4.560709245233429e-05,True
1,1,greedy_topk,1.0,0.36666666666666664,0.5472222222222222,1.103888888888889,0.058668506259520484,0.13772893772893774,0.9395604395604396,0.001966243781509833,0.0003201931226000558,0.47619047619047616,0.0007623000001331093,1.9800315957636345e-09,8.724177613462234e-10,True
1,1,mmr,0.900829495054397,0.36666666666666664,0.7138888888888889,0.8855555555555554,0.021014872352905833,0.1978021978021978,0.8907423687423688,0.0019709703854658765,0.00019680805896309732,0.47619047619047616,0.19700210000155494,6.33533519652925e-07,2.7913993702723595e-07,True
1,1,quota_mmr,0.8144226723408365,0.3333333333333333,1.0,0.25777777777777783,0.009599359536829036,0.23663003663003662,0.8544200244200244,0.0019812146865159372,0.00016051828966806927,0.38095238095238093,0.1513258000013593,4.869729269838968e-07,2.1456416741252083e-07,True
1,1,qubo_sa,0.44654510404400843,0.25,0.9125,0.4988888888888888,0.0019339043412405876,0.30842490842490844,0.7711404151404151,0.002048170095551346,6.358715185347917e-05,0.23809523809523808,107.47046460000092,0.0003432962837402735,0.00015125908898623442,True
1,1,qubo_tabu,0.6231517502532908,0.3333333333333333,0.9027777777777778,0.551111111111111,0.0009802186108787423,0.24322344322344322,0.8467203907203907,0.0019926224716197223,0.0001150099053482735,0.38095238095238093,16.96919639999942,5.422453399035315e-05,2.389176347242152e-05,True
1,1,qubo_feasible,0.6175804273716405,0.3333333333333333,0.9125,0.5711111111111111,0.000986743774590331,0.25274725274725274,0.8341758241758241,0.0019944661217296124,9.835745729688814e-05,0.38095238095238093,33.334009700000024,0.00010651211744003598,4.6930091041019375e-05,True
2,2,greedy_topk,1.0,0.38333333333333336,0.6513888888888888,0.9955555555555556,0.050195660787035856,0.14652014652014653,0.9313137973137973,0.001875721693890785,0.00022978651908412488,0.7142857142857143,0.0007596999985253206,2.042075440366907e-09,8.997547756291822e-10,True
2,2,mmr,0.9237384078268444,0.35,0.7861111111111111,0.8122222222222221,0.01689386455735437,0.1956043956043956,0.8903492063492063,0.001898535313622165,0.00015944832681212174,0.5714285714285714,0.19862169999942125,6.393711490020476e-07,2.817120432194942e-07,True
2,2,quota_mmr,0.857626094553076,0.31666666666666665,1.0,0.2544444444444445,0.009525074061814591,0.22564102564102564,0.8656068376068377,0.0019128308037320546,0.00013308895862462595,0.42857142857142855,0.15833380000003672,5.105875600091056e-07,2.2496896364049202e-07,True
2,2,qubo_sa,0.4987141942197969,0.25,0.8444444444444444,0.5694444444444444,0.0019321649419834469,0.2805860805860806,0.8097680097680098,0.0019749100222912733,9.418698600313314e-05,0.14285714285714285,107.64619409999978,0.00040012123282583427,0.0001762966161529252,True
2,2,qubo_tabu,0.7081234556237962,0.3,0.8958333333333334,0.5311111111111112,0.0016586963207786876,0.23296703296703297,0.8568034188034188,0.0019192323666136172,0.00010788032340356921,0.35714285714285715,16.838271300000997,5.3806232179107584e-05,2.3707456347972233e-05,True
2,2,qubo_feasible,0.7049726034220893,0.3,0.9041666666666667,0.5738888888888888,0.0016996671203013119,0.2336996336996337,0.8562197802197802,0.0019192323666136172,0.00011068823649492494,0.35714285714285715,32.040189200000896,0.00010236317274532654,4.5102032816972836e-05,True
3,3,greedy_topk,1.0,0.15,0.675,0.9199999999999999,0.05090897408324912,0.18754578754578755,0.899909645909646,0.002172231634012885,0.00023057122063164403,0.3076923076923077,0.0007583000005979557,1.9302684465241744e-09,8.504917196861235e-10,True
3,3,mmr,0.9363064380949522,0.16666666666666666,0.7666666666666667,0.775,0.020015037433291753,0.2315018315018315,0.8537484737484737,0.0021689540338175246,0.00013978375694787345,0.34615384615384615,0.20349549999991723,6.549859469827403e-07,2.885920481281712e-07,True
3,3,quota_mmr,0.8630126924034186,0.16666666666666666,1.0,0.25999999999999995,0.01059984610323903,0.26373626373626374,0.8182173382173382,0.0021681346337686846,0.00011311246486173253,0.34615384615384615,0.15802029999940714,5.085214527192342e-07,2.2405862023971634e-07,True
3,3,qubo_sa,0.44264157713530883,0.06666666666666667,0.8930555555555555,0.5011111111111111,0.001914668816214917,0.3355311355311355,0.7291697191697192,0.002243530290911542,5.0639648617767495e-05,0.11538461538461539,107.54274149999947,0.0003436295132791752,0.00015140591258691084,True
3,3,qubo_tabu,0.7092692501091424,0.11666666666666667,0.9125,0.538888888888889,0.0018522315722167768,0.2879120879120879,0.7901807081807082,0.0022022702176514686,6.988467218493893e-05,0.23076923076923078,16.85618909999903,5.386037191029184e-05,2.3731310746649865e-05,True
3,3,qubo_feasible,0.70712354728213,0.11666666666666667,0.9125,0.5355555555555556,0.0019138068274070828,0.29010989010989013,0.787028083028083,0.0022022702176514686,6.684896930220928e-05,0.23076923076923078,33.12862259999929,0.0001058405444979773,4.663419063016478e-05,True
4,4,greedy_topk,1.0,0.4,0.6458333333333334,0.9516666666666667,0.04656983994206052,0.16776556776556775,0.9149181929181929,0.001919207985661237,0.00020431425210777444,0.65,0.0008022000001801644,1.962106771223685e-09,8.645199402553254e-10,True
4,4,mmr,0.9308651004540434,0.38333333333333336,0.7333333333333333,0.8033333333333333,0.017508665013827758,0.21318681318681318,0.8743687423687424,0.0019279301150873663,0.00013154881433522636,0.6,0.21399320000091393,6.879677684045855e-07,3.031241025012076e-07,True
4,4,quota_mmr,0.858540770148732,0.35,1.0,0.26166666666666666,0.00844071874306875,0.24322344322344322,0.8459682539682539,0.0019378525375537885,0.00011201433950235445,0.5,0.15859490000002552,5.105591945075303e-07,2.249564655735739e-07,True
4,4,qubo_sa,0.5075341373438002,0.3,0.9208333333333333,0.5016666666666667,0.0018444100614590385,0.29743589743589743,0.7838681318681319,0.001960258007639259,6.802514444879331e-05,0.45,107.53986200000145,0.00034351923562830054,0.00015135732337171425,True
4,4,qubo_tabu,0.7022932654391006,0.3,0.9041666666666667,0.5349999999999999,0.0014014360572492117,0.2512820512820513,0.8368547008547008,0.0019672909746722258,9.221770560002756e-05,0.4,16.815854300000865,5.373232265644049e-05,2.3674891221008932e-05,True
4,4,qubo_feasible,0.6963470545825708,0.3,0.9125,0.5616666666666669,0.0013516925145588285,0.25054945054945055,0.8369914529914529,0.0019672909746722253,9.193545876218564e-05,0.4,35.79762420000043,0.00011458689862984617,5.048790423149926e-05,True
